order_item_id,order_id,product_id,quantity,price,total_profit
1,1001,101,1,75000.00,18750.00
2,1001,103,2,1200.00,360.00
3,1002,102,1,30000.00,6000.00
4,1002,107,1,18000.00,5040.00
5,1003,104,2,1500.00,540.00
6,1004,105,1,10000.00,3000.00
7,1004,106,1,2500.00,550.00
8,1005,108,1,15000.00,3750.00
9,1005,109,2,2500.00,1000.00
10,1006,110,1,8000.00,1840.00
11,1007,103,1,1200.00,180.00
12,1007,107,1,18000.00,5040.00
13,1008,102,1,30000.00,6000.00
14,1008,109,2,2500.00,1000.00
15,1009,105,1,10000.00,3000.00
16,1009,106,2,2500.00,1100.00
17,1010,101,1,75000.00,18750.00
18,1011,108,2,15000.00,7500.00
19,1012,110,1,8000.00,1840.00
20,1013,109,3,2500.00,1500.00
21,1013,104,1,1500.00,270.00
22,1014,107,2,18000.00,10080.00
23,1014,103,1,1200.00,180.00
24,1015,106,1,2500.00,550.00
25,1015,108,1,15000.00,3750.00
