order_id,order_date,customer_id,region,order_total
1001,2025-01-05,1,East,78000.00
1002,2025-01-10,2,West,32000.00
1003,2025-01-15,3,Central,15000.00
1004,2025-01-20,4,East,12000.00
1005,2025-02-01,5,South,25000.00
1006,2025-02-05,6,West,18000.00
1007,2025-02-10,7,Central,8000.00
1008,2025-02-15,8,East,30000.00
1009,2025-02-20,9,North,21000.00
1010,2025-02-25,10,West,35000.00
1011,2025-03-01,1,East,45000.00
1012,2025-03-10,2,West,29000.00
1013,2025-03-15,3,Central,27000.00
1014,2025-03-20,4,East,60000.00
1015,2025-03-25,5,South,15000.00
